date,predicted_demand,lower_bound,upper_bound,actual_demand
2023-01-01,102.42477894026914,35.03847497916344,173.19057147769485,99
2023-01-02,107.25710259315896,40.15234293384946,182.16943362019862,95
2023-01-03,108.56148192265216,38.676583559890865,175.2852905949142,101
2023-01-04,104.72161725270405,36.52669281029359,175.1344066611845,33
2023-01-05,109.7332522714092,39.80673370642839,179.87659139862063,82
2023-01-06,107.92498195875608,35.594609876321364,181.84869082375582,13
2023-01-07,106.29148505228295,40.9542345585968,183.3588290202245,122
2023-01-08,104.28493526116762,30.78006507403794,169.36211440144362,55
2023-01-09,108.5280977076917,35.0956784552126,177.40113978640412,27
2023-01-10,109.22248840982088,34.2590452666654,179.83061082915773,52
2023-01-11,104.76660062756947,35.2605791135023,176.0500464346393,170
2023-01-12,109.17092739502262,41.701754919053315,182.18757181098402,102
2023-01-13,106.7784071930877,33.61730543990593,174.01744960434021,112
2023-01-14,104.59730866965373,36.45516237031068,176.17566580114325,133
2023-01-15,102.09231747204369,35.099965077779196,170.0338155838426,19
2023-01-16,105.89733981556995,35.99312325771532,174.45287252269682,82
2023-01-17,106.22340782163872,32.977573432272784,174.35177774203288,196
2023-01-18,101.47669655679813,33.98313389573083,173.33283466848425,40
2023-01-19,105.67338693775856,33.67236377715893,174.1173499318512,165
2023-01-20,103.16000491701489,30.435428379312103,171.0888414538719,69
2023-01-21,100.94625485255852,27.12845716262859,169.49261596228646,140
2023-01-22,98.4961106236426,33.77193905370076,166.24618783101423,127
2023-01-23,102.44067811741009,38.71620274694298,177.4302807894303,192
2023-01-24,102.98621167150722,30.76065031172959,175.28531659839624,23
2023-01-25,98.53229059008972,26.82020769348181,170.86737027385294,195
2023-01-26,103.08688484334871,33.98243380707008,176.30395827377504,152
2023-01-27,100.98693422299608,31.120793023262816,169.82383267906644,11
2023-01-28,99.23145181253203,25.63769457230845,171.1744570607819,33
2023-01-29,97.272907594289,30.498888537496242,160.7022887380715,73
2023-01-30,101.73039760638946,32.196669783787584,170.5381585593127,109
2023-01-31,102.79797278493865,25.431653448520375,167.2609808483819,123
2023-02-01,98.86312516046488,29.610300746993115,171.93559415608058,33
2023-02-02,103.92215230395928,32.25180338945734,176.57266083939615,164
2023-02-03,102.30101654093284,26.451934536157882,173.74214124718983,174
2023-02-04,100.98870270603227,28.984373280817582,171.14616211671725,100
